dataset,n,n_pos,n_neg,minority,pos_is_majority,te_pos,te_neg
Ahn2021,114,63,51,51,True,19,16
Dong2022,279,136,143,136,False,41,43
Arita2018,168,111,57,57,True,34,17
BraTS-2021,577,301,276,276,True,91,83
Brancato2023,58,35,23,23,True,11,7
C4KC-KiTS,70,46,24,24,True,14,7
Colorectal-Liver-Metastases,90,76,14,14,True,23,4
Dai2023,119,31,88,31,False,9,27
Deng2023,261,94,167,94,False,28,51
Fusco2022,54,33,21,21,True,10,7
Granata2021,88,41,47,41,False,13,14
Granata2024,51,38,13,13,True,12,4
HCC-TACE-Seg,84,12,72,12,False,4,22
HNSCC,93,25,68,25,False,8,20
Head-Neck-PET-CT,91,61,30,30,True,19,9
Head-Neck-Radiomics-HN1,137,61,76,61,False,19,23
Hosny2018A,293,159,134,134,True,48,40
Hosny2018B,207,60,147,60,False,18,45
Hosny2018C,183,133,50,50,True,40,15
Huang2023,212,97,115,97,False,29,35
Hunter2023,520,282,238,238,True,85,71
ISPY1,161,92,69,69,True,28,21
Keek2020,273,119,154,119,False,36,46
LGG-1p19qDeletion,159,102,57,57,True,31,17
LNDb,173,115,58,58,True,35,17
Li2020,51,32,19,19,True,10,6
Lu2019,75,55,20,20,True,17,6
Meningioma-SEG-CLASS,88,38,50,38,False,12,15
NSCLC-Radiogenomics,144,23,121,23,False,7,37
OcanaTienda2023,67,32,35,32,False,10,11
PI-CAI,969,637,332,332,True,191,100
Petrillo2023,128,47,81,47,False,14,25
Prostate-MRI-US-Biopsy,773,596,177,177,True,179,53
QIN-HEADNECK,59,44,15,15,True,13,5
Ramella2018,91,50,41,41,True,15,13
Sasaki2019,138,68,70,68,False,21,21
Song2020,260,127,133,127,False,38,40
UCSF-PDGM,418,373,45,45,True,112,14
UPENN-GBM,187,79,108,79,False,24,33
Veeraraghavan2020,150,47,103,47,False,14,31
WORC-CRLM,77,37,40,37,False,12,12
WORC-Desmoid,203,72,131,72,False,22,39
WORC-GIST,245,124,121,121,True,37,37
WORC-Lipo,114,57,57,57,False,17,18
WORC-Liver,186,94,92,92,True,28,28
WORC-Melanoma,95,47,48,47,False,14,15
Wang2024,67,27,40,27,False,8,13
Zhang2023,203,104,99,99,True,31,30
Zhang2024A,255,145,110,110,True,44,33
Zhang2024B,192,126,66,66,True,38,20
