dataset,n,d,minority,epv,honest_auc,honest_pooled_auc,honest_ci_lo,honest_ci_hi,honest_nb_se,honest_nb_lo,honest_nb_hi,fold_p2.5,fold_p97.5,test_selected_mean,test_selected_sd,test_selected_max,grid_grand_mean,grid_grand_sd,n_candidates_total,delta_selection,delta_tuning,delta_total,delta_vs_honest
Ahn2021,114,108,51,0.4722,0.5016,0.4866,0.392,0.5857,0.055,0.3937,0.6095,0.2,0.831,0.5239,0.0644,0.6776,0.4537,0.0815,750,0.1537,0.0703,0.224,0.176
Arita2018,168,683,57,0.0835,0.7703,0.7613,0.6867,0.8306,0.0448,0.6826,0.8581,0.488,0.958,0.8131,0.0702,0.9325,0.7508,0.0757,750,0.1194,0.0623,0.1817,0.1622
BraTS-2021,577,4060,276,0.068,0.5782,0.5747,0.5313,0.6188,0.024,0.5312,0.6253,0.455,0.718,0.5922,0.0326,0.6474,0.5671,0.035,750,0.0552,0.0251,0.0803,0.0692
Brancato2023,58,2380,23,0.0097,0.6585,0.6488,0.5153,0.7777,0.0871,0.4878,0.8292,0.0,1.0,0.7478,0.0957,0.9481,0.6721,0.1097,750,0.2003,0.0757,0.2759,0.2896
C4KC-KiTS,70,315,24,0.0762,0.4032,0.4129,0.3118,0.5184,0.0843,0.2379,0.5684,0.0,0.909,0.6547,0.1007,0.8367,0.5175,0.1195,750,0.182,0.1372,0.3192,0.4336
Colorectal-Liver-Metastases,90,525,14,0.0267,0.678,0.6818,0.5477,0.8114,0.0811,0.5191,0.837,0.177,1.0,0.6987,0.0856,0.8587,0.6132,0.1093,750,0.16,0.0855,0.2455,0.1807
Dai2023,119,851,31,0.0364,0.8145,0.7949,0.6936,0.8796,0.0542,0.7083,0.9207,0.48,1.0,0.8273,0.1028,1.0,0.7384,0.1287,750,0.1727,0.0889,0.2616,0.1855
Deng2023,261,225,94,0.4178,0.8498,0.8467,0.7938,0.8902,0.0286,0.7938,0.9058,0.676,0.984,0.8658,0.0411,0.958,0.8157,0.0548,750,0.0922,0.0501,0.1423,0.1082
Dong2022,279,851,136,0.1598,0.6479,0.6422,0.5776,0.699,0.037,0.5753,0.7206,0.455,0.807,0.7147,0.0499,0.806,0.6562,0.0586,750,0.0913,0.0585,0.1498,0.1581
Fusco2022,54,192,21,0.1094,0.6593,0.6473,0.4935,0.7965,0.0886,0.4857,0.8329,0.167,1.0,0.7157,0.0994,0.9714,0.6344,0.1214,750,0.2557,0.0814,0.3371,0.3121
