dataset,n,d,minority,epv,honest_auc,honest_lo,honest_hi,test_selected_max,test_selected_mean,optimism_gap
Ahn2021,114,108,51,0.4722,0.4758,0.273,0.749,0.6711,0.4632,0.1953
Arita2018,168,683,57,0.0835,0.7367,0.527,0.932,0.8711,0.7533,0.1344
BraTS-2021,577,4060,276,0.068,0.6074,0.503,0.735,0.6896,0.6056,0.0822
Brancato2023,58,2380,23,0.0097,0.7701,0.31,1.0,0.974,0.7988,0.2039
C4KC-KiTS,70,315,24,0.0762,0.6242,0.324,1.0,0.8265,0.6372,0.2024
Colorectal-Liver-Metastases,90,525,14,0.0267,0.6476,0.272,0.955,0.8315,0.6395,0.1839
Dai2023,119,851,31,0.0364,0.7212,0.451,0.933,0.8765,0.7207,0.1554
Deng2023,261,225,94,0.4178,0.8455,0.66,0.968,0.9394,0.8446,0.094
Dong2022,279,851,136,0.1598,0.8238,0.705,0.94,0.8815,0.7916,0.0577
Fusco2022,54,192,21,0.1094,0.8021,0.31,1.0,0.9857,0.7813,0.1836
Granata2021,88,580,41,0.0707,0.6913,0.386,1.0,0.9066,0.6801,0.2153
Granata2024,51,851,13,0.0153,0.6229,0.0,1.0,0.9792,0.7135,0.3562
HCC-TACE-Seg,84,420,12,0.0286,0.539,0.091,1.0,0.8182,0.4967,0.2792
HNSCC,93,105,25,0.2381,0.7085,0.376,1.0,0.9469,0.7511,0.2384
Head-Neck-PET-CT,91,210,30,0.1429,0.8028,0.449,1.0,0.9327,0.7716,0.13
Head-Neck-Radiomics-HN1,137,105,61,0.581,0.7133,0.494,0.965,0.8352,0.7161,0.122
Hosny2018A,293,984,134,0.1362,0.5947,0.392,0.796,0.6982,0.5968,0.1035
Hosny2018B,207,984,60,0.061,0.6332,0.451,0.792,0.7506,0.6414,0.1174
Hosny2018C,183,984,50,0.0508,0.3949,0.159,0.589,0.6083,0.4542,0.2135
Huang2023,212,855,97,0.1135,0.9657,0.896,1.0,0.999,0.9709,0.0333
Hunter2023,520,1998,238,0.1191,0.8239,0.699,0.921,0.8831,0.8236,0.0592
ISPY1,161,370,69,0.1865,0.4997,0.273,0.67,0.642,0.5273,0.1423
Keek2020,273,1322,119,0.09,0.6303,0.391,0.822,0.728,0.6428,0.0977
LGG-1p19qDeletion,159,2030,57,0.0281,0.8381,0.648,1.0,0.9288,0.822,0.0907
LNDb,173,105,58,0.5524,0.8349,0.717,0.98,0.9286,0.8268,0.0937
Li2020,51,396,19,0.048,0.8014,0.454,1.0,0.9333,0.7695,0.1319
Lu2019,75,657,20,0.0304,0.6419,0.144,1.0,0.8922,0.6638,0.2502
Meningioma-SEG-CLASS,88,2030,38,0.0187,0.6878,0.436,0.964,0.875,0.6788,0.1872
NSCLC-Radiogenomics,144,105,23,0.219,0.6209,0.24,0.917,0.805,0.6057,0.1841
OcanaTienda2023,67,1130,32,0.0283,0.463,0.0,0.879,0.7091,0.4974,0.2461
PI-CAI,969,3045,332,0.109,0.739,0.645,0.817,0.7924,0.7403,0.0534
Petrillo2023,128,851,47,0.0552,0.4501,0.14,0.791,0.6657,0.4845,0.2156
Prostate-MRI-US-Biopsy,773,1015,177,0.1744,0.6832,0.57,0.793,0.757,0.6815,0.0738
QIN-HEADNECK,59,210,15,0.0714,0.3767,0.0,0.855,0.6538,0.4274,0.2772
Ramella2018,91,242,41,0.1694,0.595,0.229,0.8,0.8205,0.6196,0.2255
Sasaki2019,138,587,68,0.1158,0.554,0.247,0.85,0.6417,0.5376,0.0878
Song2020,260,264,127,0.4811,0.9502,0.882,1.0,0.9993,0.952,0.0491
UCSF-PDGM,418,7105,45,0.0063,0.9192,0.836,1.0,0.9739,0.9148,0.0547
UPENN-GBM,187,11165,79,0.0071,0.5844,0.328,0.783,0.7172,0.5713,0.1328
Veeraraghavan2020,150,200,47,0.235,0.5107,0.294,0.788,0.7304,0.5151,0.2197
WORC-CRLM,77,1015,37,0.0365,0.5583,0.129,0.856,0.7396,0.6132,0.1813
WORC-Desmoid,203,1015,72,0.0709,0.7771,0.635,0.9,0.8916,0.7606,0.1145
WORC-GIST,245,1015,121,0.1192,0.7335,0.552,0.889,0.8349,0.7483,0.1014
WORC-Lipo,114,1015,57,0.0562,0.8837,0.66,1.0,0.9755,0.8694,0.0918
WORC-Liver,186,1015,92,0.0906,0.7034,0.533,0.872,0.8112,0.694,0.1078
WORC-Melanoma,95,1015,47,0.0463,0.5752,0.3,0.8,0.7476,0.5451,0.1725
Wang2024,67,280,27,0.0964,0.6153,0.091,1.0,0.851,0.6417,0.2357
Zhang2023,203,1781,99,0.0556,0.6186,0.327,0.796,0.736,0.6368,0.1174
Zhang2024A,255,3850,110,0.0286,0.7031,0.544,0.858,0.8237,0.7125,0.1206
Zhang2024B,192,833,66,0.0792,0.6506,0.46,0.867,0.7691,0.6518,0.1185
