cohort,arm,level,n,minority,d,honest,cherry,gap
Prostate-MRI-US-Biopsy,events,177,773,177,1015,0.6885,0.8017,0.1132
Prostate-MRI-US-Biopsy,events,123,719,123,1015,0.702,0.7975,0.0955
Prostate-MRI-US-Biopsy,events,88,684,88,1015,0.6755,0.8146,0.1391
Prostate-MRI-US-Biopsy,events,61,657,61,1015,0.7042,0.8343,0.1301
Prostate-MRI-US-Biopsy,events,44,640,44,1015,0.6973,0.8229,0.1256
Prostate-MRI-US-Biopsy,dim,1015,773,177,1015,0.6939,0.7635,0.0696
Prostate-MRI-US-Biopsy,dim,507,773,177,507,0.6953,0.7997,0.1044
Prostate-MRI-US-Biopsy,dim,253,773,177,253,0.6878,0.7696,0.0818
Prostate-MRI-US-Biopsy,dim,101,773,177,101,0.6972,0.7804,0.0832
Dong2022,events,136,279,136,851,0.6478,0.8162,0.1685
Dong2022,events,95,238,95,851,0.6585,0.8773,0.2188
Dong2022,events,68,211,68,851,0.6183,0.7852,0.1668
Dong2022,events,47,190,47,851,0.6508,0.8638,0.213
Dong2022,events,34,177,34,851,0.5828,0.7932,0.2104
Dong2022,dim,851,279,136,851,0.6476,0.8287,0.1811
Dong2022,dim,425,279,136,425,0.6588,0.8446,0.1858
Dong2022,dim,212,279,136,212,0.6488,0.8003,0.1516
Dong2022,dim,85,279,136,85,0.6738,0.7998,0.126
Hosny2018A,events,134,293,134,984,0.5683,0.7266,0.1582
Hosny2018A,events,93,252,93,984,0.58,0.7719,0.192
Hosny2018A,events,67,226,67,984,0.5924,0.8313,0.2389
Hosny2018A,events,46,205,46,984,0.6194,0.811,0.1916
Hosny2018A,events,33,192,33,984,0.5464,0.8312,0.2848
Hosny2018A,dim,984,293,134,984,0.5824,0.737,0.1545
Hosny2018A,dim,492,293,134,492,0.5778,0.7286,0.1509
Hosny2018A,dim,246,293,134,246,0.5777,0.7255,0.1478
Hosny2018A,dim,98,293,134,98,0.5582,0.6505,0.0923
