cohort,arm,n,minority,rep,honest,cherry,gap
PI-CAI,fix_n,200,90,0,0.6488,0.8092,0.1604
PI-CAI,fix_n,200,90,1,0.6749,0.899,0.2241
PI-CAI,fix_n,200,90,2,0.6627,0.8664,0.2038
PI-CAI,fix_n,200,70,0,0.6724,0.8767,0.2043
PI-CAI,fix_n,200,70,1,0.6008,0.8523,0.2515
PI-CAI,fix_n,200,70,2,0.605,0.8083,0.2033
PI-CAI,fix_n,200,50,0,0.7123,0.9156,0.2033
PI-CAI,fix_n,200,50,1,0.6529,0.8444,0.1916
PI-CAI,fix_n,200,50,2,0.6479,0.9081,0.2603
PI-CAI,fix_n,200,30,0,0.6439,0.8802,0.2363
PI-CAI,fix_n,200,30,1,0.5975,0.9499,0.3523
PI-CAI,fix_n,200,30,2,0.5693,0.902,0.3326
PI-CAI,fix_n,200,20,0,0.7169,0.9722,0.2553
PI-CAI,fix_n,200,20,1,0.7193,0.9691,0.2498
PI-CAI,fix_n,200,20,2,0.6489,0.9444,0.2956
PI-CAI,fix_e,120,50,0,0.6096,0.8984,0.2888
PI-CAI,fix_e,120,50,1,0.6339,0.9016,0.2677
PI-CAI,fix_e,120,50,2,0.6591,0.9238,0.2647
PI-CAI,fix_e,160,50,0,0.6278,0.8768,0.2489
PI-CAI,fix_e,160,50,1,0.6205,0.9051,0.2845
PI-CAI,fix_e,160,50,2,0.674,0.9051,0.2311
PI-CAI,fix_e,220,50,0,0.6362,0.8863,0.2501
PI-CAI,fix_e,220,50,1,0.623,0.8575,0.2345
PI-CAI,fix_e,220,50,2,0.6371,0.8837,0.2465
PI-CAI,fix_e,320,50,0,0.6686,0.9021,0.2334
PI-CAI,fix_e,320,50,1,0.6477,0.8206,0.1729
PI-CAI,fix_e,320,50,2,0.7152,0.8749,0.1597
PI-CAI,fix_e,450,50,0,0.6189,0.835,0.2161
PI-CAI,fix_e,450,50,1,0.7083,0.8667,0.1583
PI-CAI,fix_e,450,50,2,0.6982,0.8611,0.1629
BraTS-2021,fix_n,200,90,0,0.5299,0.8496,0.3197
BraTS-2021,fix_n,200,90,1,0.5531,0.8833,0.3302
BraTS-2021,fix_n,200,90,2,0.5128,0.8036,0.2908
BraTS-2021,fix_n,200,70,0,0.598,0.8413,0.2433
BraTS-2021,fix_n,200,70,1,0.5221,0.8181,0.2959
BraTS-2021,fix_n,200,70,2,0.4999,0.8132,0.3132
BraTS-2021,fix_n,200,50,0,0.4843,0.837,0.3527
BraTS-2021,fix_n,200,50,1,0.5029,0.8193,0.3163
BraTS-2021,fix_n,200,50,2,0.6037,0.8059,0.2023
BraTS-2021,fix_n,200,30,0,0.6368,0.841,0.2042
BraTS-2021,fix_n,200,30,1,0.4915,0.9216,0.4301
BraTS-2021,fix_n,200,30,2,0.5149,0.8235,0.3086
BraTS-2021,fix_n,200,20,0,0.561,0.963,0.402
BraTS-2021,fix_n,200,20,1,0.4106,0.9506,0.5401
BraTS-2021,fix_n,200,20,2,0.5111,0.7747,0.2636
BraTS-2021,fix_e,120,50,0,0.5386,0.873,0.3344
BraTS-2021,fix_e,120,50,1,0.4089,0.9492,0.5403
BraTS-2021,fix_e,120,50,2,0.5131,0.8889,0.3757
