cohort,arm,n,minority,rep,honest,sel_mean,sel_sd,sel_max,delta_selection
PI-CAI,fix_n,200,90,0,0.6558,0.7037,0.054,0.8496,0.1459
PI-CAI,fix_n,200,70,0,0.7222,0.74,0.0589,0.8632,0.1233
PI-CAI,fix_n,200,50,0,0.6997,0.7562,0.0703,0.9333,0.1772
PI-CAI,fix_n,200,35,0,0.6519,0.7487,0.0739,0.866,0.1173
PI-CAI,fix_n,200,20,0,0.6669,0.7386,0.0926,0.892,0.1534
PI-CAI,fix_e,120,50,0,0.6289,0.6737,0.0648,0.8032,0.1295
PI-CAI,fix_e,200,50,0,0.6329,0.6733,0.0825,0.8015,0.1282
PI-CAI,fix_e,320,50,0,0.7428,0.7794,0.0492,0.884,0.1046
PI-CAI,fix_e,500,50,0,0.6607,0.7014,0.0547,0.8202,0.1188
PI-CAI,fix_n,200,90,1,0.6591,0.7026,0.0579,0.8114,0.1089
PI-CAI,fix_n,200,70,1,0.5893,0.661,0.0655,0.79,0.129
PI-CAI,fix_n,200,50,1,0.6945,0.7648,0.0698,0.9037,0.1389
PI-CAI,fix_n,200,35,1,0.5952,0.6499,0.0778,0.798,0.1481
PI-CAI,fix_n,200,20,1,0.6658,0.7073,0.0639,0.8642,0.1569
PI-CAI,fix_e,120,50,1,0.6363,0.6859,0.086,0.8349,0.149
PI-CAI,fix_e,200,50,1,0.6301,0.6662,0.0582,0.7985,0.1323
PI-CAI,fix_e,320,50,1,0.6995,0.722,0.0632,0.8477,0.1258
PI-CAI,fix_e,500,50,1,0.6239,0.6618,0.0614,0.8114,0.1496
PI-CAI,fix_n,200,90,2,0.6427,0.6841,0.0426,0.7912,0.1072
PI-CAI,fix_n,200,70,2,0.6381,0.7137,0.0661,0.8669,0.1532
PI-CAI,fix_n,200,50,2,0.6813,0.7206,0.0532,0.803,0.0824
PI-CAI,fix_n,200,35,2,0.6137,0.6491,0.0564,0.7718,0.1227
PI-CAI,fix_n,200,20,2,0.6619,0.7599,0.0632,0.8889,0.129
PI-CAI,fix_e,120,50,2,0.6843,0.724,0.0749,0.873,0.149
PI-CAI,fix_e,200,50,2,0.5771,0.6315,0.0541,0.7393,0.1077
