cohort,arm,dfrac,d,D_full,seed,n,minority,honest,sel_mean,sel_sd,sel_max,delta_selection,delta_vs_honest
Prostate-MRI-US-Biopsy,infold,1.0,1015,1015,0,773,177,0.6939,0.7095,0.0311,0.7779,0.0684,0.084
Prostate-MRI-US-Biopsy,leaky,1.0,1015,1015,0,773,177,0.6939,0.7182,0.0313,0.7792,0.061,0.0853
Prostate-MRI-US-Biopsy,leaky_fixedk,1.0,1015,1015,0,773,177,0.6939,0.6903,0.0316,0.7635,0.0732,0.0696
Prostate-MRI-US-Biopsy,infold,0.5,507,1015,0,773,177,0.69,0.7099,0.0322,0.7819,0.072,0.0919
Prostate-MRI-US-Biopsy,leaky,0.5,507,1015,0,773,177,0.69,0.7159,0.0305,0.7781,0.0622,0.0881
Prostate-MRI-US-Biopsy,leaky_fixedk,0.5,507,1015,0,773,177,0.69,0.6963,0.0352,0.7694,0.0731,0.0794
Prostate-MRI-US-Biopsy,infold,0.5,507,1015,1,773,177,0.6961,0.7157,0.0334,0.784,0.0683,0.0879
Prostate-MRI-US-Biopsy,leaky,0.5,507,1015,1,773,177,0.6961,0.7179,0.033,0.7845,0.0667,0.0884
Prostate-MRI-US-Biopsy,leaky_fixedk,0.5,507,1015,1,773,177,0.6961,0.7042,0.0358,0.7813,0.0771,0.0852
Prostate-MRI-US-Biopsy,infold,0.5,507,1015,2,773,177,0.6957,0.7098,0.0304,0.7701,0.0603,0.0744
Prostate-MRI-US-Biopsy,leaky,0.5,507,1015,2,773,177,0.6957,0.7205,0.0278,0.7747,0.0542,0.0791
Prostate-MRI-US-Biopsy,leaky_fixedk,0.5,507,1015,2,773,177,0.6957,0.6938,0.0312,0.7588,0.065,0.0631
Prostate-MRI-US-Biopsy,infold,0.25,253,1015,0,773,177,0.6946,0.7118,0.0308,0.7648,0.053,0.0703
Prostate-MRI-US-Biopsy,leaky,0.25,253,1015,0,773,177,0.6946,0.7197,0.032,0.7973,0.0776,0.1027
Prostate-MRI-US-Biopsy,leaky_fixedk,0.25,253,1015,0,773,177,0.6946,0.71,0.034,0.7973,0.0873,0.1027
Prostate-MRI-US-Biopsy,infold,0.25,253,1015,1,773,177,0.692,0.7124,0.0287,0.776,0.0636,0.084
Prostate-MRI-US-Biopsy,leaky,0.25,253,1015,1,773,177,0.692,0.7198,0.031,0.7822,0.0624,0.0902
Prostate-MRI-US-Biopsy,leaky_fixedk,0.25,253,1015,1,773,177,0.692,0.7071,0.0321,0.7799,0.0728,0.0879
Prostate-MRI-US-Biopsy,infold,0.25,253,1015,2,773,177,0.688,0.7043,0.0317,0.7719,0.0676,0.0839
Prostate-MRI-US-Biopsy,leaky,0.25,253,1015,2,773,177,0.688,0.7107,0.0315,0.7745,0.0638,0.0865
Prostate-MRI-US-Biopsy,leaky_fixedk,0.25,253,1015,2,773,177,0.688,0.6917,0.0369,0.7676,0.0759,0.0796
Prostate-MRI-US-Biopsy,infold,0.1,101,1015,0,773,177,0.6717,0.7002,0.0323,0.7801,0.0799,0.1084
Prostate-MRI-US-Biopsy,leaky,0.1,101,1015,0,773,177,0.6717,0.7029,0.0316,0.7757,0.0728,0.1039
Prostate-MRI-US-Biopsy,leaky_fixedk,0.1,101,1015,0,773,177,0.6717,0.6783,0.034,0.7606,0.0823,0.0889
Prostate-MRI-US-Biopsy,infold,0.1,101,1015,1,773,177,0.6742,0.699,0.0325,0.7599,0.0609,0.0857
Prostate-MRI-US-Biopsy,leaky,0.1,101,1015,1,773,177,0.6742,0.7043,0.0339,0.7645,0.0602,0.0903
Prostate-MRI-US-Biopsy,leaky_fixedk,0.1,101,1015,1,773,177,0.6742,0.676,0.0334,0.7442,0.0682,0.07
Prostate-MRI-US-Biopsy,infold,0.1,101,1015,2,773,177,0.6819,0.7031,0.0313,0.7575,0.0543,0.0756
Prostate-MRI-US-Biopsy,leaky,0.1,101,1015,2,773,177,0.6819,0.7094,0.0291,0.7603,0.0509,0.0784
